Manufacturer,Part Number ,Part description ,Part location ,Part details on the system ,Quantity # in stock,Unit Price $,Date Used ,Date Re-Ordered  ,Quantity Used
Linde ,E72122,"REGULATOR,ASSM  V345 VALVE",on liquefier ,V345-page 154,0,,,,
Linde ,E64635,"VALVE,VARIDAMP .25IPS",on liquefier ,"V347 V349 V354 V355 V366 V368 V369 V371 V372 V393 V399 V415 V644 V644-page 154,155,157",0,,,,
Linde ,E70286,"KIT,SOL VALVE 35421345",on liquefier ,V348-page 154,0,,,,
Linde ,E71218,"KIT,SOL VALVE 35421585",on liquefier ,V350-page 154,0,,,,
Linde ,E69973,"VALVE,RLF .25M/F 10PSI BR",on liquefier ,"V351 V400-page 154,155",0,,,,
Linde ,E64625,"VALVE,NEEDLE .25MPT BR 3000PSI",on liquefier ,"V352 V396-page 154,155",0,,,,
Linde ,E71061,"VALVE,CHECK .375NPT M/M BR",on liquefier ,V353 V364 JT valve-Page 155,0,,,,
Linde ,E70631,"VALVE,BALL,.25MPT BR WHITEY",on liquefier ,V357-page 154,0,,,,
Linde ,E71103,"VALVE,PRESSURE CONTROL, .5 FPT",on liquefier ,V370-page 154,0,,,,
Linde ,E70114,"VALVE,RLF .25NPT 300PSIG BR W/",on liquefier ,V390-page 155,0,,,,
Linde ,E70138,"VALVE,CHECK .375FPT BR BODY W/",on liquefier ,V395-page 155,0,,,,
Linde ,E70619,"VALVE,SS WHITNEY SS-1RS8",on liquefier ,V397-page 155,0,,,,
Linde ,E70144,"VALVE,BALL 2FPT BR JAMESBURY",on liquefier ,V398-page 155,0,,,,
Linde ,E70294,"KIT,SOL VALVE 35421348",on liquefier ,"V602 V603 V617-page 155,156",0,,,,
Linde/ powell,E73465,"VALVE,GLOBE CRYOGENIC .375FPT",on liquefier ,V606-page 155,0,,,,
Linde ,E70974,"VALVE,SOL .25NPT 120/110V BR",on liquefier ,V609-page 156,0,,,,
Linde ,E73238,"VALVE,EXT STEM NC PURIFIER",on liquefier ,V614 V616-page 182,0,,,,
Linde ,E73239,"VALVE,EXT STEM PNEU NO V615",on liquefier ,V615-page 184,0,,,,
Linde ,E73182,"VALVE,REG .25FPT 50-175PSIG",on liquefier ,V618-page 156,0,,,,
Linde ,E70033,"VALVE,RLF .25M/F 450PSI BR W/",on liquefier ,V623-page 156,0,,,,
Linde ,E70292,"KIT,SOL VALVE 35421347",on liquefier ,V624-page 156,0,,,,
Linde ,E70030,"VALVE,METER .125FPT",on liquefier ,V628-page 156,0,,,,
Linde ,E71806,"VALVE,RLF .125NPT 20PSI BR",on liquefier ,V630-page 156,0,,,,
Linde ,E70697,"VALVE,RLF .125MPT 50PSI SS",on liquefier ,V631-page156,0,,,,
Linde ,E70299,"KIT,SOL VALVE 35421640",on liquefier ,V632-page 157,0,,,,
Linde ,E71950,"VALVE,RLF .25NPT BR BODY W/",on liquefier ,V633-page 157,0,,,,
Linde ,E70662,"REGULATOR,0-100PSIG .25NPT BR",on liquefier ,V634-page 157,0,,,,
Linde ,E70029,"VALVE,NEEDLE .25FPT BR HOKE",on liquefier ,V635-page 157,0,,,,
Linde ,E70107,"VALVE,CHECK .5NPT BR BODY W/",on liquefier ,V636-page 157,0,,,,
Linde ,E69882,"VALVE,BALL .25FPT BR TEF SEAT",on liquefier ,V640-page 157,0,,,,
Linde ,E70650,"VALVE,CHECK .375""OD SS316",on liquefier ,V645-page 157,0,,,,
Linde ,E70117,"VALVE,CHECK .875""OD BR TEFLON",on liquefier ,V802-page 157,0,,,,
Linde ,E73196,"VALVE,SOL .375NPT 120V NC BR",on liquefier ,V805-page 157,0,,,,
Linde ,E70146,"VALVE,NEEDLE .75FPT BR DELTROL",on liquefier ,V806-page 157,0,,,,
Linde ,E70116,"VALVE,RLF .25MPT 35PSI BR",on liquefier ,V807-page 157,0,,,,
Linde ,E70288,"KIT,SOL VALVE 35421343",on liquefier ,V808-page 157,0,,,,
Linde ,E70858,"TRANSMITTER,AMB TO 10-3 TORR,",on liquefier ,VT43 VT44-page 157,0,,,,
Linde ,E69331,"SEAL,SAFETY RUBBER CRYO ADS",on cryoadsorber ,cryoadsorber ,0,,,,
Linde ,E69342,"VALVE,RLF.375NPT M/F 300PSI BR",on cryoadsorber ,cryoadsorber ,0,,,,
Linde ,E64671,"ORING,017 BUNA N674-70 PARKER",on cryoadsorber ,cryoadsorber-page 193 item 17,0,,,,
Linde ,E69398,"TIMER,MECH DPST 120 MINUTE",cryo ads heater ,cryoadsorber heater ,0,,,,
Linde ,E72350,"ADAP,EVAC & CHARGING RS COMP",cryo ads heater ,cryoadsorber heater ,0,,,,
Linde ,E72074,"TOOL,VALVE JACK EXHAUST",1st drawer ,Valve jack tool-page196 item 17,2,,,,
Linde ,E72075,"TOOL,VALVE JACK INLET",1st drawer ,Valve jack tool-page 196 item 16,2,,,,
Linde ,E72042,"TOOL,ENG LIFTING TUBE",?,engine lifting tube tool- page 196 item 2,?,,,,
Linde ,E72044,"TOOL,COMPRESS VALVE SPRING",?,valve assembly tool-page 196 item 15,?,,,,
Linde ,E69609,"GREASE,BEARING MSDS REQ",AC shelf ,molub alloy grease for connecting rod-page 129,1,,,,
Linde ,E72188,"TOOL,CRANKPIN BEARING REMOVAL",under stainless table,tool for removing crankpin bearings-page 196 item 28,1,,,,
Linde ,E69608,"GREASE,XHD GUIDE MSDS REQ",AC shelf ,Grease for the crossheads of the piston assembly-page 196 item 10 ,1,,,,
Linde ,E72040,"SHIM,VALVE SETTING .010""THK SS",1st drawer ,for adjusting valve clearances while cold-page 196 item 14,1,,,,
Linde ,E72039,"SHIM,VALVE SETTING .025""THK SS",1st drawer ,for adjusting valve clearances while warm-page 196 item 13,1,,,,
Linde ,E72041,"TOOL,FLYWHEEL LOCKING BAR",on top liquefier ,Locking bar for the flywheel assembly for the liquefier-page 196 item 3,1,,,,
